year,qdistance,qtime,avg_delay
1998,6,14,97.1467889908256881
1998,6,15,104.1428571428571429
1998,6,16,111.8888888888888889
1998,6,17,130.5000000000000000
1998,6,18,151.5000000000000000
1998,6,20,
1998,7,1,32.0250000000000000
1998,7,2,12.8703703703703704
1998,7,3,10.6298076923076923
1998,7,4,6.1580278128950695
1998,7,5,5.4060048280024140
1998,7,6,5.7874860309450570
1998,7,7,6.7772983817362194
1998,7,8,10.3158906809605077
1998,7,9,15.4916854565952649
1998,7,10,26.6321692582207494
1998,7,11,44.7779850746268657
1998,7,12,59.2669683257918552
1998,7,13,75.2821428571428571
1998,7,14,89.8500000000000000
1998,7,15,97.2452830188679245
1998,7,16,107.0000000000000000
1998,7,17,159.7777777777777778
1998,7,18,168.6666666666666667
1998,7,20,274.0000000000000000
1998,8,1,14.6538461538461538
1998,8,2,12.7333333333333333
1998,8,3,1.8823529411764706
1998,8,4,12.6085714285714286
1998,8,5,7.6871401151631478
1998,8,6,6.0692195300133934
1998,8,7,6.3844755228761907
1998,8,8,7.6957184708481414
1998,8,9,12.2539665171244119
1998,8,10,23.4611679119150610
1998,8,11,38.2330375035785857
1998,8,12,55.1533377395902181
1998,8,13,74.0295857988165680
1998,8,14,87.1929347826086957
1998,8,15,100.2011494252873563
1998,8,16,120.5609756097560976
1998,8,17,126.2105263157894737
1998,8,18,210.8000000000000000
1998,8,19,185.0000000000000000
1998,8,20,
1998,9,1,18.3333333333333333
1998,9,2,3.4285714285714286
1998,9,3,2.7272727272727273
1998,9,4,9.5833333333333333
1998,9,5,15.2150000000000000
1998,9,6,7.9545896853713915
1998,9,7,5.5838803088803089
1998,9,8,4.9867020327572467
1998,9,9,6.5798865930770998
1998,9,10,10.1969475928627539
1998,9,11,17.1239474810903382
1998,9,12,29.9117170626349892
1998,9,13,45.9839391377852916
1998,9,14,65.4882506527415144
1998,9,15,81.9484126984126984
1998,9,16,98.4500000000000000
1998,9,17,125.9696969696969697
1998,9,18,253.6666666666666667
1998,9,20,
1998,10,1,-1.1250000000000000
1998,10,2,2.5000000000000000
1998,10,3,7.8000000000000000
1998,10,4,44.6666666666666667
1998,10,5,3.3750000000000000
1998,10,6,11.7613636363636364
1998,10,7,9.4431407942238267
1998,10,8,5.4614118131302737
1998,10,9,4.4261064248400009
1998,10,10,5.9740857440579566
1998,10,11,10.2088325294331207
1998,10,12,18.0545617173524150
1998,10,13,32.1466311197285507
1998,10,14,50.4914877868245744
1998,10,15,71.1472868217054264
1998,10,16,86.5400696864111498
1998,10,17,109.6813186813186813
1998,10,18,145.0000000000000000
1998,10,19,134.0000000000000000
1998,10,20,225.0000000000000000
1998,11,1,-6.0000000000000000
1998,11,2,34.5000000000000000
1998,11,3,80.0000000000000000
1998,11,4,6.5000000000000000
1998,11,5,23.6250000000000000
1998,11,6,16.4000000000000000
1998,11,7,15.8608695652173913
1998,11,8,6.4607918263090677
1998,11,9,5.0356506750933640
1998,11,10,5.5785195062153211
1998,11,11,7.0668067017997415
1998,11,12,11.4201382033563672
1998,11,13,21.5320298683434860
1998,11,14,40.9183673469387755
1998,11,15,61.3234899328859060
1998,11,16,79.6389684813753582
1998,11,17,99.6347826086956522
1998,11,18,142.2307692307692308
1998,11,19,164.0000000000000000
1998,11,20,
1998,12,1,9.3333333333333333
1998,12,2,-1.3333333333333333
1998,12,3,19.0000000000000000
1998,12,4,-7.0000000000000000
1998,12,5,23.1666666666666667
1998,12,6,-12.0000000000000000
1998,12,7,6.4444444444444444
1998,12,8,6.5500000000000000
1998,12,9,6.7045819935691318
1998,12,10,5.2783801109283982
1998,12,11,5.5755982720394962
1998,12,12,7.9321732874710551
1998,12,13,14.5936075797553370
1998,12,14,27.1493636972538513
1998,12,15,46.8852523659305994
1998,12,16,71.7317073170731707
1998,12,17,99.1447721179624665
1998,12,18,122.4637681159420290
1998,12,19,167.2500000000000000
1998,12,20,182.0000000000000000
1998,13,1,46.0000000000000000
1998,13,2,7.0000000000000000
1998,13,3,-6.0000000000000000
1998,13,5,96.0000000000000000
1998,13,6,-10.3333333333333333
1998,13,7,1.7500000000000000
1998,13,8,-1.9375000000000000
1998,13,9,14.9642857142857143
1998,13,10,4.8481262327416174
1998,13,11,4.8422399832837068
1998,13,12,4.8918077329999038
1998,13,13,6.0812623913612729
1998,13,14,12.1899849559424028
1998,13,15,24.5311084001394214
1998,13,16,47.5565978736710444
1998,13,17,78.5126903553299492
1998,13,18,114.8584905660377358
1998,13,19,144.1818181818181818
1998,13,20,253.0000000000000000
1998,14,4,-6.0000000000000000
1998,14,7,-2.0000000000000000
1998,14,8,14.6000000000000000
1998,14,9,-4.8750000000000000
1998,14,10,5.1709401709401709
1998,14,11,1.7621968218567048
1998,14,12,3.0418318680687238
1998,14,13,4.5054968354765868
1998,14,14,6.3465234873001863
1998,14,15,12.1819883236961926
1998,14,16,24.9146890343698854
1998,14,17,52.1525139664804469
1998,14,18,91.8074866310160428
1998,14,19,119.1818181818181818
1998,14,20,305.0000000000000000
1998,15,1,3.0000000000000000
1998,15,3,-9.0000000000000000
1998,15,4,-18.0000000000000000
1998,15,7,-11.0000000000000000
1998,15,8,-16.0000000000000000
1998,15,10,27.1428571428571429
1998,15,11,10.1202185792349727
1998,15,12,4.2177260165811291
1998,15,13,3.4369736630370649
1998,15,14,4.6015785973595561
1998,15,15,7.1272993884193083
1998,15,16,14.5929732708735189
1998,15,17,31.9391592920353982
1998,15,18,75.9336099585062241
1998,15,19,102.6000000000000000
1998,15,20,234.0000000000000000
1998,16,1,137.0000000000000000
1998,16,3,5.0000000000000000
1998,16,8,84.5000000000000000
1998,16,10,-1.6666666666666667
1998,16,11,34.4285714285714286
1998,16,12,16.1190476190476190
1998,16,13,3.0987440450411434
1998,16,14,3.5324983324686875
1998,16,15,4.7039351513760511
1998,16,16,7.6606721304173533
1998,16,17,18.8209214092140921
1998,16,18,54.4383218534752661
1998,16,19,109.2031250000000000
1998,16,20,173.0000000000000000
1998,17,1,0.00000000000000000000
1998,17,9,140.0000000000000000
1998,17,11,225.0000000000000000
1998,17,12,-6.4000000000000000
1998,17,13,-2.9583333333333333
